name,commonName,longName,population,populaiton formatted,population year
Afghanistan,Afghanistan,Islamic Emirate of Afghanistan,35000000,"""35 Million – 50 Million""",(2024 estimate)
Albania,Albania,Republic of Albania,2335930,"""2.34 Million""",(2026 census)
Algeria,Algeria,People's Democratic Republic of Algeria,47400000,"""47.4 Million""",(2025 estimate)
Åland Islands,Åland,,30654,"""31,000""",(2024 estimate)
American Samoa,American Samoa,,43268,"""43,000""",(2025 estimate)
Andorra,Andorra,Principality of Andorra,90021,"""90,000""",(2026 estimate)
Angola,Angola,Republic of Angola,36604681,"""36.6 Million""",(2024 census)
Anguilla,Anguilla,,16010,"""16,000""",(2024 estimate)
Antigua and Barbuda,Antigua and Barbuda,,106365,"""106,000""",(2026 estimate)
Argentina,Argentina,Argentine Republic,46735004,"""46.7 Million""",(2025 estimate)
Armenia,Armenia,Republic of Armenia,3100100,"""3.1 Million""",(2026 estimate)
Aruba,Aruba,,108880,"""109,000""",(2025 census)
Australia,Australia,Commonwealth of Australia,27801023,"""27.8 Million""",(2025 estimate)
Austria,Austria,Republic of Austria,9219113,"""9.22 Million""",(2026 estimate)
Azerbaijan,Azerbaijan,Republic of Azerbaijan,10353296,"""10.4 Million""",(2022 estimate)
"Bahamas, The",The Bahamas,Commonwealth of The Bahamas,398165,"""398,000""",(2022 census)
Bahrain,Bahrain,Kingdom of Bahrain,1501635,"""1.5 Million""",(2020 census)
Bangladesh,Bangladesh,People's Republic of Bangladesh,175423000,"""175 Million""",(2026 estimate)
Barbados,Barbados,,281998,"""282,000""",(2023 estimate)
Belarus,Belarus,Republic of Belarus,9109280,"""9.11 Million""",(2025 estimate)
Belgium,Belgium,Kingdom of Belgium,11867634,"""11.9 Million""",(2026 census)
Belize,Belize,,397483,"""397,000""",(2022 census)
Benin,Benin,Republic of Benin,15170420,"""15.2 Million""",(2026 estimate)
Bermuda,Bermuda,,63913,"""64,000""",(2019 estimate)
Bhutan,Bhutan,Kingdom of Bhutan,727145,"""727,000""",(2022 census)
Bolivia,Bolivia,Plurinational State of Bolivia,11365333,"""11.4 Million""",(2024 census)
Bosnia and Herzegovina,Bosnia and Herzegovina,,3412000,"""3.41 Million""",(2023 estimate)
Botswana,Botswana,Republic of Botswana,2359609,"""2.36 Million""",(2022 census)
Brazil,Brazil,Federative Republic of Brazil,214211951,"""214 Million""",(2026 estimate)
British Indian Ocean Territory,British Indian Ocean Territory,,2000,"""2,000 military personnel and contractors""",(2018 estimate)
Brunei,Brunei,Brunei Darussalam,458600,"""459,000""",(2025 estimate)
Bulgaria,Bulgaria,Republic of Bulgaria,6423207,"""6.42 Million""",(2025 estimate)
Burkina Faso,Burkina Faso,,22489126,"""22.5 Million""",(2023 estimate)
